pairing_id,student_id,tutor_id,lessons_count,total_hours,avg_feedback_score,positive_note_count,negative_note_count,good_pairing_label
P0001,S031,T004,1,1.5,-0.15552771735529755,0,1,0
P0002,S050,T011,1,2.0,0.35705420848928826,1,0,1
P0003,S034,T004,1,1.0,0.35705420848928826,1,0,1
P0004,S010,T016,1,1.5,-0.1425645388718891,0,1,0
P0005,S015,T016,1,1.5,0.35705420848928826,1,0,1
P0006,S056,T020,1,2.0,-0.15552771735529755,0,1,0
P0007,S066,T004,1,1.5,0.35705420848928826,1,0,1
P0008,S055,T013,1,1.0,0.35705420848928826,1,0,1
P0009,S068,T020,1,1.0,-0.008877284417959874,0,1,0
P0010,S042,T015,1,2.0,-0.15552771735529755,0,1,0
P0011,S074,T002,1,2.0,0.35705420848928826,1,0,1
P0012,S031,T014,1,1.5,-0.15552771735529755,0,1,0
P0013,S021,T024,1,1.5,0.18680576616383085,1,0,1
P0014,S071,T016,1,2.0,0.18680576616383085,1,0,1
P0015,S056,T018,1,1.0,-0.1425645388718891,0,1,0
P0016,S043,T003,1,2.0,0.0,0,0,0
P0017,S044,T021,1,1.0,0.0,0,0,0
P0018,S001,T004,1,1.5,0.35705420848928826,1,0,1
P0019,S047,T003,1,1.5,0.43730031065603897,1,0,1
P0020,S061,T025,1,1.5,0.35705420848928826,1,0,1
P0021,S053,T004,1,1.5,0.35705420848928826,1,0,1
P0022,S051,T023,1,1.5,-0.15552771735529755,0,1,0
P0023,S031,T023,1,2.0,0.35705420848928826,1,0,1
P0024,S019,T022,1,2.0,0.35705420848928826,1,0,1
P0025,S006,T025,1,1.5,-0.008877284417959874,0,1,0
P0026,S065,T019,1,2.0,0.18680576616383085,1,0,1
P0027,S049,T025,1,2.0,0.25247545207397104,1,0,1
P0028,S070,T007,1,2.0,0.35705420848928826,1,0,1
P0029,S017,T022,1,2.0,-0.15552771735529755,0,1,0
P0030,S029,T010,1,1.0,0.35705420848928826,1,0,1
P0031,S034,T002,1,1.5,0.25247545207397104,1,0,1
P0032,S034,T014,1,1.0,-0.1425645388718891,0,1,0
P0033,S067,T025,1,2.0,0.35705420848928826,1,0,1
P0034,S048,T011,1,1.5,0.25247545207397104,1,0,1
P0035,S078,T005,1,1.5,-0.15552771735529755,0,1,0
P0036,S045,T023,1,2.0,0.18680576616383085,1,0,1
P0037,S068,T021,1,1.0,0.18680576616383085,1,0,1
P0038,S042,T019,1,2.0,-0.15552771735529755,0,1,0
P0039,S050,T011,1,2.0,0.35705420848928826,1,0,1
P0040,S045,T012,1,2.0,0.35705420848928826,1,0,1
P0041,S026,T025,1,1.5,-0.15552771735529755,0,1,0
P0042,S061,T023,1,1.5,0.0,0,0,0
P0043,S061,T012,1,2.0,0.35705420848928826,1,0,1
P0044,S018,T017,1,1.0,-0.15552771735529755,0,1,0
P0045,S027,T024,1,1.5,-0.15552771735529755,0,1,0
P0046,S041,T023,1,2.0,0.43730031065603897,1,0,1
P0047,S055,T019,1,1.5,0.18680576616383085,1,0,1
P0048,S076,T016,1,1.5,0.35705420848928826,1,0,1
P0049,S001,T016,1,1.5,-0.15552771735529755,0,1,0
P0050,S037,T009,1,1.5,0.18680576616383085,1,0,1
P0051,S039,T015,1,1.0,0.35705420848928826,1,0,1
P0052,S046,T014,1,1.0,0.18680576616383085,1,0,1
P0053,S070,T015,1,1.0,0.18680576616383085,1,0,1
P0054,S061,T001,1,2.0,-0.15552771735529755,0,1,0
P0055,S023,T003,1,1.0,0.0,0,0,0
P0056,S047,T013,1,1.0,0.0,0,0,0
P0057,S014,T002,1,1.0,0.25247545207397104,1,0,1
P0058,S037,T013,1,1.5,-0.1425645388718891,0,1,0
P0059,S001,T002,1,1.5,0.0,0,0,0
P0060,S048,T021,1,1.0,0.35705420848928826,1,0,1
P0061,S068,T013,1,2.0,0.35705420848928826,1,0,1
P0062,S001,T025,1,1.5,-0.008877284417959874,0,1,0
P0063,S002,T017,1,2.0,-0.15552771735529755,0,1,0
P0064,S048,T005,1,1.5,0.35705420848928826,1,0,1
P0065,S050,T024,1,1.5,-0.1425645388718891,0,1,0
P0066,S024,T003,1,2.0,-0.007259730559466437,0,1,0
P0067,S062,T005,1,1.0,0.18680576616383085,1,0,1
P0068,S016,T017,1,2.0,-0.008877284417959874,0,1,0
P0069,S015,T023,1,1.0,-0.008877284417959874,0,1,0
P0070,S019,T016,1,1.0,-0.1425645388718891,0,1,0
P0071,S010,T011,1,2.0,0.25247545207397104,1,0,1
P0072,S070,T013,1,1.5,0.18680576616383085,1,0,1
P0073,S053,T011,1,1.0,-0.008877284417959874,0,1,0
P0074,S016,T009,1,1.5,0.18680576616383085,1,0,1
P0075,S004,T010,1,1.5,0.18680576616383085,1,0,1
P0076,S058,T015,1,2.0,0.35705420848928826,1,0,1
P0077,S023,T024,1,1.5,0.25247545207397104,1,0,1
P0078,S032,T023,1,2.0,0.18680576616383085,1,0,1
P0079,S019,T006,1,1.0,0.35705420848928826,1,0,1
P0080,S051,T008,1,2.0,0.35705420848928826,1,0,1
P0081,S057,T021,1,1.0,0.35705420848928826,1,0,1
P0082,S061,T021,1,1.5,0.35705420848928826,1,0,1
P0083,S077,T010,1,2.0,0.35705420848928826,1,0,1
P0084,S057,T007,1,2.0,-0.1425645388718891,0,1,0
P0085,S032,T020,1,1.0,-0.008877284417959874,0,1,0
